Symbol,Name,Long Initial Margin,Long Maint Margin,Short Initial Margin,Short Maint Margin,Risk Rate
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
AGOX,,0.55,0.5,,,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
AGOX,,0.55,0.5,,,
AGQ,,0.55,0.5,0.6,0.55,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
AGOX,,0.55,0.5,,,
AGQ,,0.55,0.5,0.6,0.55,
AGRO,,0.8,0.75,0.55,0.5,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
AGOX,,0.55,0.5,,,
AGQ,,0.55,0.5,0.6,0.55,
AGRO,,0.8,0.75,0.55,0.5,
AGX,,0.8,0.75,0.8,0.75,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
AGOX,,0.55,0.5,,,
AGQ,,0.55,0.5,0.6,0.55,
AGRO,,0.8,0.75,0.55,0.5,
AGX,,0.8,0.75,0.8,0.75,
AGYS,,0.8,0.75,0.6,0.55,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
AGOX,,0.55,0.5,,,
AGQ,,0.55,0.5,0.6,0.55,
AGRO,,0.8,0.75,0.55,0.5,
AGX,,0.8,0.75,0.8,0.75,
AGYS,,0.8,0.75,0.6,0.55,
AGZ,,0.45,0.4,0.5,0.45,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
AGIX,,0.7,0.65,,,
AGM,,0.8,0.75,0.4,0.35,
AGNC,,0.3,0.25,0.35,0.3,
AGO,,0.7,0.65,0.35,0.3,
AGOX,,0.55,0.5,,,
AGQ,,0.55,0.5,0.6,0.55,
AGRO,,0.8,0.75,0.55,0.5,
AGX,,0.8,0.75,0.8,0.75,
AGYS,,0.8,0.75,0.6,0.55,
AGZ,,0.45,0.4,0.5,0.45,
AHCO,,0.8,0.75,0.55,0.5,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
AEVA,,0.9,0.85,0.75,0.7,
AFG,,0.3,0.25,0.35,0.3,
AFL,,0.3,0.25,0.35,0.3,
AFLG,,0.35,0.3,,,
AFMC,,0.55,0.5,,,
AFRM,,0.55,0.5,0.55,0.5,
AFYA,,0.8,0.75,,,
AG,,0.7,0.65,0.45,0.4,
AGBA.OLD,,1.0,1.0,1.7,1.65,
AGCO,,0.5,0.45,0.35,0.3,
AGG,,0.3,0.25,0.35,0.3,
AGGH,,0.35,0.3,,,
AGGY,,0.3,0.25,0.35,0.3,
AGI,,0.35,0.3,0.4,0.35,
AGIO,,0.8,0.75,0.45,0.4,
